txtTitolo,StottoTitolo,StottoTitolo2,StottoTitolo3
La sintesi degli scambi con l’estero dell’agroalimentare,Paese/area: Mondo,Periodo riferimento: marzo 2024,Unità di misura: valore

Gruppo_Ismea1_Cod,Textbox31,Textbox3,Import_in_valore,Textbox4,Export_in_valore,Textbox5,Saldo,Textbox32,Textbox34,exportMesePrecedente,Textbox10,Textbox24,TotaleSaldo,Textbox35,Textbox1
Ortaggi freschi e trasformati,MARZO 2024,Mio €,"665,8",Mio €,"370,0",Mio €,"295,8",var. vs anno prec.,"-2,6","0,1","5.945,9","5.511,5","434,4","-0,8","-4,1"
Frutta fresca e trasformata,MARZO 2024,Mio €,"401,8",Mio €,"401,5",Mio €,"0,3",var. vs anno prec.,"1,3","-2,2","5.945,9","5.511,5","434,4","-0,8","-4,1"
Oli e grassi,MARZO 2024,Mio €,"371,2",Mio €,"560,7",Mio €,"-189,4",var. vs anno prec.,"37,4","5,9","5.945,9","5.511,5","434,4","-0,8","-4,1"
Vino e mosti,MARZO 2024,Mio €,"690,8",Mio €,"59,4",Mio €,"631,4",var. vs anno prec.,"-3,0","52,3","5.945,9","5.511,5","434,4","-0,8","-4,1"
Animali e carni,MARZO 2024,Mio €,"392,2",Mio €,"863,6",Mio €,"-471,4",var. vs anno prec.,"0,7","2,6","5.945,9","5.511,5","434,4","-0,8","-4,1"
Latte e derivati,MARZO 2024,Mio €,"478,2",Mio €,"406,7",Mio €,"71,5",var. vs anno prec.,"-1,6","-9,1","5.945,9","5.511,5","434,4","-0,8","-4,1"
"Cereali, riso e derivati",MARZO 2024,Mio €,"933,4",Mio €,"649,9",Mio €,"283,5",var. vs anno prec.,"-4,7","-17,2","5.945,9","5.511,5","434,4","-0,8","-4,1"
Colture industriali,MARZO 2024,Mio €,"223,1",Mio €,"441,6",Mio €,"-218,5",var. vs anno prec.,"-13,0","13,5","5.945,9","5.511,5","434,4","-0,8","-4,1"
Foraggere,MARZO 2024,Mio €,"32,0",Mio €,"14,2",Mio €,"17,8",var. vs anno prec.,"-19,8","23,7","5.945,9","5.511,5","434,4","-0,8","-4,1"
Florovivaismo,MARZO 2024,Mio €,"222,6",Mio €,"87,9",Mio €,"134,8",var. vs anno prec.,"-4,2","27,7","5.945,9","5.511,5","434,4","-0,8","-4,1"
Ittico,MARZO 2024,Mio €,"94,5",Mio €,"622,6",Mio €,"-528,1",var. vs anno prec.,"4,4","-10,5","5.945,9","5.511,5","434,4","-0,8","-4,1"
Altre bevande,MARZO 2024,Mio €,"360,0",Mio €,"151,5",Mio €,"208,5",var. vs anno prec.,"1,0","-9,5","5.945,9","5.511,5","434,4","-0,8","-4,1"
Animali non domestici (Selvaggina),MARZO 2024,Mio €,"6,4",Mio €,"20,9",Mio €,"-14,5",var. vs anno prec.,"1,0","13,7","5.945,9","5.511,5","434,4","-0,8","-4,1"
Prodotti agroalimentari diversi,MARZO 2024,Mio €,"1.073,8",Mio €,"861,1",Mio €,"212,7",var. vs anno prec.,"-1,8","-11,7","5.945,9","5.511,5","434,4","-0,8","-4,1"
Animali non domestici (Insetti),MARZO 2024,Mio €,-,Mio €,-,Mio €,-,var. vs anno prec.,-,-,"5.945,9","5.511,5","434,4","-0,8","-4,1"

Saldo in valore_label,Saldo in valore_ChartSaldi_CategoryGroup_label,Saldo in valore_ChartSaldi_CategoryGroup_Value_Y
Saldo in valore,Ittico,-528.107259
Saldo in valore,Animali e carni,-471.366644
Saldo in valore,Colture industriali,-218.516053
Saldo in valore,Oli e grassi,-189.416135
Saldo in valore,Prodotti di origine animale o vegetale non alimentari,-117.658646
Saldo in valore,Animali non domestici (Selvaggina),-14.507855
Saldo in valore,Animali non domestici (Insetti),1.9E-05
Saldo in valore,Frutta fresca e trasformata,0.300395
Saldo in valore,Foraggere,17.810627
Saldo in valore,Latte e derivati,71.547251
Saldo in valore,Florovivaismo,134.759137
Saldo in valore,Altre bevande,208.480889
Saldo in valore,Prodotti agroalimentari diversi,212.652173
Saldo in valore,"Cereali, riso e derivati",283.538853
Saldo in valore,Ortaggi freschi e trasformati,295.772559
Saldo in valore,Vino e mosti,631.440666

